chart_id,image_path,success,marked_tick_recovery,x_axis_type,y_axis_type,x_tick_count,y_tick_count,marked_image,encrypted_grid,error
v_bar_118,F:\program\test-demo\backend\charts\v_bar\v_bar_118.png,True,True,文字轴,数值轴,12,6,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\v_bar_118_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\v_bar_118_with_grid.png,
v_bar_182,F:\program\test-demo\backend\charts\v_bar\v_bar_182.png,True,True,文字轴,数值轴,13,6,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\v_bar_182_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\v_bar_182_with_grid.png,
h_bar_057,F:\program\test-demo\backend\charts\h_bar\h_bar_057.png,True,True,数值轴,文字轴,6,20,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_057_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_057_with_grid.png,
h_bar_117,F:\program\test-demo\backend\charts\h_bar\h_bar_117.png,True,True,数值轴,文字轴,6,19,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_117_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_117_with_grid.png,
h_bar_144,F:\program\test-demo\backend\charts\h_bar\h_bar_144.png,True,True,数值轴,文字轴,7,19,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_144_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_144_with_grid.png,
h_bar_147,F:\program\test-demo\backend\charts\h_bar\h_bar_147.png,True,True,数值轴,文字轴,8,6,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_147_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_147_with_grid.png,
h_bar_150,F:\program\test-demo\backend\charts\h_bar\h_bar_150.png,True,True,数值轴,文字轴,5,6,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_150_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_150_with_grid.png,
h_bar_174,F:\program\test-demo\backend\charts\h_bar\h_bar_174.png,True,True,数值轴,文字轴,6,20,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_174_marked_ticks.png,F:\program\test-demo\backend\evaluation\recheck_outputs\marked_tick_recovery_probe\h_bar_174_with_grid.png,
